job_title,role_category,open_roles,top_locations,experience_level,work_mode,skills,job_links
Hr Officer,HR,14,"Magherafelt, Craigavon, UK",Mid,On-site,"['C++', 'People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593535940?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=1DF8E97CF0B9FD15351C7C38F3295F0F2CCEDFF5""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5595034096?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=1FD677C34143D4A11A50F7EAFFCD08EC830D57A5""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5596782709?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=193E527E04EF58958B6C1EA33E942F4918A2229F""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598273601?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=D159E5D17A7F9766913B56B8597F87458010235E""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5602754516?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=3883CF19D4165AE910E351BE5EE760C2EB552CC4""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5602754506?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=79FFA43F00506911337E2D6805256B966ECA99D9""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5588829284?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=474D1FC8D5A36565443A3F8A3375A0506CA7960D""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598273526?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=F363B05ABE21FCBED33290FB7E95A9D08382DBE7""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593535913?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=9C6FF7065FD854A13D6717F6717CA7DBA24FD508""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607493259?se=CD4C58gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=3769E6075093542EAE1648745B0AC21A8F17E323""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606774472?se=CD4C58gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=01F077691B364E03C93B0AB50E20A9B7F8B2067E""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606765844?se=CD4C58gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=E3F1FE7F2CE3DB27DEB778D55D56322B136B3FCB""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606762212?se=CD4C58gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=7DBEC2335618B482B705EC59BFCE8EA85FCC6110""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606767037?se=CD4C58gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=B04514B37A955E011AECCF2E76ED37EB2DEE1D00""}]"
Hr Operations Manager,HR,1,Woking,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5588552824?utm_medium=api&utm_source=026f28a2""}]"
Hr Service Delivery Manager - Human Resources,HR,1,UK,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5295888929?utm_medium=api&utm_source=026f28a2""}]"
Hrms Installation Only – Ready System & Source Code Required,HR,1,UK,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5578923635?utm_medium=api&utm_source=026f28a2""}]"
Human Resource Director,HR,2,"London, Balsall Heath",Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5589143674?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601861554?se=ynHH5cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=DC5B1E78EC3C5E6C981FC8F23C03B0366DB79A10""}]"
Human Resource Manager,HR,2,"Laleham, UK",Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5571519426?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5605998412?utm_medium=api&utm_source=026f28a2""}]"
Human Resources (Hr) Manager,HR,5,"South Bank, UK, Chessington",Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5610482766?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5610482762?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5598452911?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5610810587?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5610809410?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Director,HR,1,London,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5572985921?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Director For Silversea Cruises,HR,1,London,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5548414811?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Hr Manager,HR,1,London,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5610298045?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Intern,HR,1,UK,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/4500004026?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Internship,HR,1,Essex,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/4548959716?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Management,HR,1,UK,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/4500004244?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Manager,HR,14,"Newry, St Pancras, London",Senior,On-site,"['C++', 'People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5577274914?se=vuZb6MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=18FA32720BAD807C036D46D3164B475C264F090C""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607063957?se=vuZb6MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=1F27B21942F3C967AF6BE3F8FEC716868F2F9719""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5446867113?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5600939159?se=vuZb6MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=90EF285A12C65DFE28FD167F361637227094C36A""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5588351374?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5587958333?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5570830582?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5479473881?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5540936673?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5589385437?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5578000454?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5594788058?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5455262759?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5593466577?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Manager (Hr),HR,1,Bury St. Edmunds,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5611142061?se=vuZb6MgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=C5A3341D6A37580F23FF1F8893A7703DE97DB044""}]"
Human Resources Manager (Maternity Cover),HR,1,Mayfair,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5593111620?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Manager - Maternity Contract,HR,1,Gunnersbury,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5604770524?utm_medium=api&utm_source=026f28a2""}]"
Human Resources Manager Emea,HR,1,Angel,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5603531495?utm_medium=api&utm_source=026f28a2""}]"
"Human Resources Manager, Uk",HR,2,"Staines, Wraysbury",Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5542065783?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5542996039?utm_medium=api&utm_source=026f28a2""}]"
"Human Resources, Emea Pensions Manager, Director (Avp Equivalent)",HR,1,London,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5589109781?utm_medium=api&utm_source=026f28a2""}]"
Impact And Data Analyst,Data,1,London,Mid,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5592224457?se=5FtQuMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=286E47D88636977EBAB8373AD37630FFD03C1BFA""}]"
Information Scientist - Content Analytics,Data,1,Slough,Senior,Hybrid,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606942659?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=0E65A176EF11B5EB25B97EA562D50DB179C192F0""}]"
Innovation Marketing Manager,Marketing,1,Chalvey,Mid,On-site,"['Campaigns', 'SEO']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5526350907?se=TEEuzsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=C1BEFDB06385E8D5F56495F53842778845CF01C0""}]"
Instrumentation And Control Engineer,Healthcare,1,Hertfordshire,Mid,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5578953231?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=B467FA431F0E18BC50C201AA9C29F73CE7D3EB33""}]"
Insurance Operations Manager,Business,1,Cheltenham,Mid,Hybrid,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5576559704?se=jkTCzMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=273071551B7A268E8E215BEC4C15F85C93790AF1""}]"
Interim Accountant,Finance,1,Leeds,Mid,Hybrid,['Excel'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607507658?se=Fmmp1MgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=1F8A89E18598C117AA5D481167ECD8D5AA24E63D""}]"
Interim Finance Analyst,Finance,1,UK,Senior,Hybrid,"['Accounting', 'Reporting']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5589338734?se=2ND21cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=FDC0EB4BB2129175BE63043BDA6FB0269E3D8B0C""}]"
Interim Financial Consultant,Business,1,London,Mid,On-site,['C++'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549282376?se=Gt8nyMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=09C546FFD876CFB41C728134D09D5E08B645DD5F""}]"
Interim Sap Transformations Consultant,Business,1,Burnley,Senior,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283371?se=Gt8nyMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=EC88F17601BCB5D8573F93893D50A1C569EDF81E""}]"
Interim Senior Hr Business Partner,HR,1,Balsall Heath,Senior,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5575874481?se=FlK16cgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=BE1A1A44963EFA1E4A2B0A997F5C8000A1766F10""}]"
Internal Audit - Energy & Infrastructure - Senior Consultant,Business,1,London,Senior,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5574025582?se=Gt8nyMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=441889C98B1A130A74BCEC1C5B4FE8A476D56495""}]"
International Account Manager Pharma,Healthcare,1,Farringdon,Senior,Hybrid,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5487528813?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=5A454E826291F9626F2A24294930BBEB7B052DCC""}]"
"International Projects Director, Commercial Pharma",Healthcare,1,Reading,Senior,On-site,['C++'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5441399267?se=bhvh3cgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=E2C245C9EB2DA69F541BB3113189E22BBD779466""}]"
International Tax Consultant,Business,1,Belfast,Senior,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581957796?se=Gt8nyMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=F1FAE9C7F5DA61F3C056D2B735DB15930D0B2688""}]"
Internship: Hr Coordinator,HR,1,The City,Mid,On-site,"['People Management', 'Recruitment']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5062902649?utm_medium=api&utm_source=026f28a2""}]"
It Business Analyst,Business,3,"Birmingham, Coventry, West Midlands",Mid,On-site,"['Analysis', 'Communication']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5574729904?se=SgmZxcgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=2DB7548880E663A6B24D65CD61BE0EC5B84185B1""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5575717547?se=SgmZxcgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=443426C318EF4F72FD990A0849EE4F215C371A2B""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5577651934?se=SgmZxcgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=000DFF7E07F5CE27C72F55961928765F731BEB6F""}]"
Java Software Engineer,Engineering,2,"Hunslet, Heeley",Senior,On-site,['Java'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5611227134?se=TJbHrcgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=AC2CB092B66805522969FD6E8BBA0CAF81CABA8B""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5611129616?se=CkM4r8gA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=5B2F5DF8D465F3E627DBA0B73E49D9B78D46F14B""}]"
Junior Data Analyst,Data,2,"Loughborough, London",Mid,Hybrid,"['Data Analysis', 'Python', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5600787834?se=5FtQuMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=D465C20142401D98396403A2B02962A51DE3D506""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5575507723?se=5FtQuMgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=93A0A70A6CC38469C382EEEE822BFA93D832E998""}]"
Junior Data Scientist,Data,1,London,Mid,On-site,['Python'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5575505124?se=1rQzvMgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=FE8EEB6F3BA22B95EBAC897030908D0A152EB684""}]"
Junior Product Owner Asset Management / Oms,Product,1,London,Mid,Hybrid,"['Roadmapping', 'Stakeholder Management']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5602647538?se=wsjwwsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=B9F73ADFEFC97DABB17109FF3EAFB1B7907F6324""}]"
Junior Software Engineer (Client Facing Analytics),Data,1,London,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5591024753?se=yGTuvsgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=26913B35F08B4F571172B3FF9B687691699ED77E""}]"
Junior Ux Designer,Design,4,"Manchester, Fareham, Rusholme",Senior,Hybrid,"['UI', 'UX']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5602538097?se=bhIX48gA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=B53D19C141EAC61C7F82FA71F4C63D4E5DF16268""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5604087240?utm_medium=api&utm_source=026f28a2""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5602354863?se=Hth35MgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=7AAF869DC5946351175A1ACCB330E2EC8B84D08D""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5603230657?utm_medium=api&utm_source=026f28a2""}]"
Key Account Manager – Secondary Care,Healthcare,2,"The City, London",Mid,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5583883341?se=jBIq38gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=DADF188585FB4EDA5DC5FB3BB81183D2A1CD2844""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5583880002?se=jBIq38gA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=192AD8FC49EF5DA0BA88FFCC6926FF4B49461585""}]"
Kitchen Designer,Design,1,Sandiacre,Senior,On-site,"['UI', 'UX']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5610069221?se=7BXT4cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=A79E552BD83B2A07A9A39A491DE58D615FD766F6""}]"
Landscape Designer,Design,2,"Abbotts Barton, Winchester",Mid,On-site,"['UI', 'UX']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593840117?se=7BXT4cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=500ED2DF99D89EE4DA3298CEEFB7E2E2B8DD8E9A""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5590337111?se=7BXT4cgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=0D86C405AEC57A0A7295145658A5C6DE72548FE9""}]"
Lead & Tender Coordinator,Healthcare,1,Leicester,Mid,On-site,['Clinical Knowledge'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5592809400?utm_medium=api&utm_source=026f28a2""}]"
"Lead Analytical Scientist, Mass Spectrometry Focused",Data,1,North West England,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5597198188?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=FF218C75AEB7374C581AC908CCDD1C5B70F9F2BC""}]"
Lead Azure Devops Engineer,Engineering,1,UK,Senior,On-site,['Azure'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/details/5584110525?utm_medium=api&utm_source=026f28a2""}]"
Lead Data Scientist,Data,3,"London, The City, UK",Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604104217?se=3NP2usgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=298EF569A4474BFAE41FF951709E629AA55E8A0A""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604103992?se=3NP2usgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=D6994BD4BC3AEF843F03B7E381A2BC7D76F1EC8D""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5606049677?se=1rQzvMgA8RGV19jEQmXbTQ&utm_medium=api&utm_source=026f28a2&v=82E824E2B756FBD03CE39433B31CAD57B2C657EE""}]"
Lead Data Scientist - Drug Discovery,Data,1,London,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5580232038?se=3NP2usgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=30DD56A8AC993E696274A162AEDBBD4BB8316442""}]"
Lead Data Scientist - Remote,Data,1,Hermiston,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5610466738?se=3NP2usgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=C70518A6870BA04B77CCA728FB60D17840EC57D3""}]"
Lead Devops Engineer,Engineering,3,"Birmingham, Manchester Science Park, Longbenton",Senior,Hybrid,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598598245?se=qqN8sMgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=014475874103AA3BE2018185AA49661D00196BB0""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601005921?se=qqN8sMgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=0B3BB3B39997855CED35130A25C6010059A2ADEE""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601243002?se=qqN8sMgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=0406D5E4A1B2B204CF5FB910742098C11427CD86""}]"
Lead Devops Engineer Aws,Engineering,1,Leeds,Senior,On-site,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5598848582?se=qqN8sMgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=C35B43661B46F0F447F334B27E1E872F6F382AB6""}]"
Lead Embedded Software Engineer,Engineering,1,Edinburgh,Senior,On-site,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5588943021?se=CkM4r8gA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=0F5E0AE392F7E25C561E36BB9C295DF312FD8296""}]"
