job_title,role_category,open_roles,top_locations,experience_level,work_mode,skills,job_links
Associate Data Scientist,Data,1,London,Mid,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604283708?se=3NP2usgA8RGI2N0cIjSMgQ&utm_medium=api&utm_source=026f28a2&v=FCCEE86665724992C8624074DC4039EDEF1D72C6""}]"
Associate Director - Digital Analytics,Data,1,South East London,Senior,On-site,"['Data Analysis', 'SQL']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5607031071?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=1848525D925E927585F1D7A865206E43A3CCF3AB""}]"
Associate Marketing Manager,Marketing,1,Bourne End,Mid,Hybrid,"['Campaigns', 'SEO']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5588989030?se=TEEuzsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=4378B32CAA4BEC7C20170D8A059FB720EE8D161B""}]"
Associate Product Manager,Product,5,"Burgess Hill, Far Cotton, Baginton",Mid,Hybrid,"['Roadmapping', 'Stakeholder Management']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5592795890?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=D8E510DA4C28724B888EC06C8E8DCB3F343E0B97""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601752959?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=DDC23387AC352791A8CEED1758D6929A3E6268C0""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601426901?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=82229D3F76F2982B78008B57EE3FB23CCB0EFDE9""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5601948244?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=966EEFF24C21F20180E8E05A8B5CE492C01B5903""}, {""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5581598279?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=6B74A6E301CC71676918E94BFBEC663ABB16124F""}]"
Associate Product Owner,Product,1,Wokingham,Entry,On-site,"['Roadmapping', 'Stakeholder Management']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5604011459?se=wsjwwsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=35F06F0E4741C37049F4B0A3C93AE6C9DECF62A1""}]"
Associate Software Engineer,Engineering,1,UK,Mid,Hybrid,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5583404511?se=CkM4r8gA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=145A0FEC05C2FBC90177661BE674A6DC38E0BAE6""}]"
"Audit Product Owner, Global Accountancy Firm, Professional Services",Product,1,Bishopsgate,Mid,Remote,"['Roadmapping', 'Stakeholder Management']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5589139906?se=wsjwwsgA8RG27sBWXwN7yg&utm_medium=api&utm_source=026f28a2&v=837F125D19B145ECE0855343FE01B5DC439990E2""}]"
Automation Software Engineer,Engineering,1,Tamworth,Mid,On-site,"['Problem Solving', 'System Design']","[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5593863357?se=CkM4r8gA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=3574AD8423075141C360A1210C3C653D70C58A7C""}]"
Avp Senior Auditor Data Analytics,Data,1,London,Mid,On-site,['C++'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5549283366?se=3GmBvcgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=4FF37FB44257CD30A09F5484B7A598C16E1D3FE1""}]"
Aws Product Manager,Product,1,UK,Mid,On-site,['AWS'],"[{""source"": ""Adzuna"", ""url"": ""https://www.adzuna.co.uk/jobs/land/ad/5587939380?se=sgdRwMgA8RGhuY8Zc5lhIQ&utm_medium=api&utm_source=026f28a2&v=ABBFBB4D21FD46590AD3B92E0BBB83D36E5580B6""}]"
